Country,Area,Population in 2018,GDP per capita in 2018,Population density,Vehicle ownership,Total Road Deaths in 2018,Road deaths per Million Inhabitants,Year
United Kingdom,248.5,"66,273,576","32,400",273,544,"1,825",28,2018
Denmark,42.9,"5,781,190","47,600",137,508,175,30,2018
Netherlands,41.5,"17,181,084","41,500",508,543,678,31,2018
Ireland,69.8,"4,830,392","59,400",70,525,146,31,2018
Sweden,438.6,"10,120,242","43,300",25,542,324,32,2018
Malta,0.3,"475,701","21,600","1,462",726,18,38,2018
Spain,506.0,"46,658,447","25,000",93,611,"1,806",39,2018
Germany,357.3,"82.792,351","35,900",237,610,"3,177",39,2018
Finland,338.4,"5,513,130","36,600",18,732,225,43,2018
Slovenia,20.3,"2,066,880","20,200",103,587,91,44,2018
Austria,83.9,"8,822,267","38,000",107,665,409,45,2018
Slovakia,49.0,"5,443,120","15,600",113,455,229,46,2018
France,632.8,"66,926,166","32,800",123,590,"3,265",48,2018
EU 28 Total,"4,463.4","512,379,225","28,200",121,587,"25,249",49,2018
Estonia,45.2,"1,319,133","15,100",30,620,67,51,2018
Belgium,30.5,"11,398,589","35,300",376,585,590,52,2018
Italy,302.1,"60,483,973","26,700",206,707,"3,310",55,2018
Cyprus,9.3,"864,236","23,300",128,726,49,57,2018
Portugal,92.2,"10,291,027","17,900",112,479,606,59,2018
Luxembourg,2.6,"602,005","80,800",245,740,36,60,2018
Lithuania,65.3,"2,808,901","13,300",45,501,170,61,2018
Czechia,78.9,"10,610,055","17,600",137,570,656,62,2018
Greece,132.0,"10,741,165","17,800",83,605,690,64,2018
Hungary,93.0,"9,778,371","12,500",108,394,629,64,2018
Poland,312.7,"37,976,687","12,400",124,672,"2,862",76,2018
Croatia,56.5,"4,105,493","11,500",74,416,317,77,2018
Latvia,64.6,"1,934,379","12,300",31,387,143,78,2018
Bulgaria,111.0,"7,050,034","6,500",65,516,611,88,2018
Romania,238.4,"19,530,631","8,700",85,329,"1,867",96,2018
